year,importer1,importer2,flow1,flow2
1880,France,Switzerland,22.02,
1880,United States of America,Brazil,52,
1880,United States of America,Belgium,6.99,
1880,Brazil,United Kingdom,32.47,
1880,United Kingdom,Sweden,40.16,
1880,United Kingdom,Turkey,15.8,
1880,United Kingdom,Italy,16.45,
1880,Austria-Hungary,Romania,15.95,
1880,United States of America,Netherlands,6.3,
1880,Austria-Hungary,Russia,21.77,
1880,United Kingdom,Denmark,25.68,
1880,France,Turkey,25.76,
1880,United Kingdom,Portugal,19.91,
1880,France,Austria-Hungary,23.95,
1880,Germany,Italy,15.42,
1880,Belgium,Russia,24.44,
1880,Switzerland,Italy,19.73,
1880,Chile,United Kingdom,9.32,
1880,United States of America,Italy,10.56,
1880,Brazil,France,14.7,
1880,United States of America,Spain,4.18,
1880,Netherlands,Russia,18.33,
1880,Russia,Turkey,12.74,
1880,France,China,19.47,
1880,Germany,Sweden,5.47,
1880,Italy,Russia,16.36,
1880,United Kingdom,Japan,2.58,
1880,All Other Trade,All Other Trade,16.85,
1880,All Other Trade,All Other Trade,6.44,
1880,All Other Trade,All Other Trade,15,
1880,All Other Trade,All Other Trade,4.61,
1880,All Other Trade,All Other Trade,16.32,
1880,All Other Trade,All Other Trade,11.9,
1880,All Other Trade,All Other Trade,7.23,
1880,All Other Trade,All Other Trade,7,
1880,All Other Trade,All Other Trade,7.16,
1880,All Other Trade,All Other Trade,3.73,
1880,All Other Trade,All Other Trade,1.5,
1880,All Other Trade,All Other Trade,12.56,
1880,All Other Trade,All Other Trade,7.2,
1880,All Other Trade,All Other Trade,7.1,
1880,All Other Trade,All Other Trade,1.95,
1880,All Other Trade,All Other Trade,6.95,
1880,All Other Trade,All Other Trade,8.22,
1880,All Other Trade,All Other Trade,3.43,
1880,All Other Trade,All Other Trade,5.95,
1880,All Other Trade,All Other Trade,6.44,
1880,All Other Trade,All Other Trade,2.18,
1880,All Other Trade,All Other Trade,1.04,
1880,All Other Trade,All Other Trade,4.66,
1880,All Other Trade,All Other Trade,6.85,
1880,All Other Trade,All Other Trade,5.23,
1880,All Other Trade,All Other Trade,5.08,
1880,All Other Trade,All Other Trade,5.05,
1880,All Other Trade,All Other Trade,4.83,
1880,All Other Trade,All Other Trade,6.66,
1880,All Other Trade,All Other Trade,4.09,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,2.08,
1880,All Other Trade,All Other Trade,0.65,
1880,All Other Trade,All Other Trade,2.57,
1880,All Other Trade,All Other Trade,3.38,
1880,All Other Trade,All Other Trade,5.92,
1880,All Other Trade,All Other Trade,0.27,
1880,All Other Trade,All Other Trade,2.31,
1880,All Other Trade,All Other Trade,4.43,
1880,All Other Trade,All Other Trade,1.37,
1880,All Other Trade,All Other Trade,0.8,
1880,All Other Trade,All Other Trade,0.33,
1880,All Other Trade,All Other Trade,3.43,
1880,All Other Trade,All Other Trade,2.39,
1880,All Other Trade,All Other Trade,0.19,
1880,All Other Trade,All Other Trade,0.98,
1880,All Other Trade,All Other Trade,1.32,
1880,All Other Trade,All Other Trade,1.99,
1880,All Other Trade,All Other Trade,3.51,
1880,All Other Trade,All Other Trade,1.92,
1880,All Other Trade,All Other Trade,1.35,
1880,All Other Trade,All Other Trade,2.4,
1880,All Other Trade,All Other Trade,3.64,
1880,All Other Trade,All Other Trade,2.94,
1880,All Other Trade,All Other Trade,0.7,
1880,All Other Trade,All Other Trade,1.27,
1880,All Other Trade,All Other Trade,3.38,
1880,All Other Trade,All Other Trade,2.45,
1880,All Other Trade,All Other Trade,2,
1880,All Other Trade,All Other Trade,0.28,
1880,All Other Trade,All Other Trade,1.47,
1880,All Other Trade,All Other Trade,1.68,
1880,All Other Trade,All Other Trade,1.71,
1880,All Other Trade,All Other Trade,1.44,
1880,All Other Trade,All Other Trade,1.58,
1880,All Other Trade,All Other Trade,0.42,
1880,All Other Trade,All Other Trade,0.38,
1880,All Other Trade,All Other Trade,1.3,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0.46,
1880,All Other Trade,All Other Trade,0.91,
1880,All Other Trade,All Other Trade,0.51,
1880,All Other Trade,All Other Trade,0.77,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0.45,
1880,All Other Trade,All Other Trade,0.53,
1880,All Other Trade,All Other Trade,0.34,
1880,All Other Trade,All Other Trade,0.38,
1880,All Other Trade,All Other Trade,0.38,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0.5,
1880,All Other Trade,All Other Trade,0.84,
1880,All Other Trade,All Other Trade,0.25,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0.43,
1880,All Other Trade,All Other Trade,0.32,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0,
1880,All Other Trade,All Other Trade,0.32,
1880,All Other Trade,All Other Trade,0.03,
1880,All Other Trade,All Other Trade,0.26,
1880,All Other Trade,All Other Trade,0.26,
1880,All Other Trade,All Other Trade,0.0086498,
1880,All Other Trade,All Other Trade,0.17,
1880,All Other Trade,All Other Trade,0.08,
1880,All Other Trade,All Other Trade,0.001608,
1880,All Other Trade,All Other Trade,0.06,
1880,All Other Trade,All Other Trade,0.004422,
1885,United States of America,United Kingdom,111.74,
1885,Netherlands,Germany,120.35,
1885,United Kingdom,France,173.54,
1885,United Kingdom,Germany,112.11,
1885,United Kingdom,Netherlands,121.54,
1885,Belgium,France,84.39,
1885,Germany,Austria-Hungary,91.31,
1885,France,Germany,72.2,
1885,Germany,Russia,82.1,
1885,Netherlands,Belgium,64.96,
1885,United Kingdom,Belgium,72.24,
1885,United Kingdom,Russia,86.08,
1885,Belgium,Germany,35.08,
1885,France,Spain,69.66,
1885,United States of America,France,49.06,
1885,France,Italy,50.7,
1885,Switzerland,Germany,34.45,
1885,United Kingdom,China,41.86,
1885,United States of America,Germany,36.47,
1885,Austria-Hungary,Italy,19.64,
1885,United Kingdom,Spain,45.94,
1885,France,Switzerland,22.48,
1885,Argentina,France,18.48,
1885,United Kingdom,Turkey,22.74,
1885,United States of America,Brazil,45,
1885,United Kingdom,Sweden,39.4,
1885,United Kingdom,Italy,14.26,
1885,Brazil,United Kingdom,25.84,
1885,Germany,Italy,20.31,
1885,Austria-Hungary,Romania,15.98,
1885,Switzerland,Italy,24.09,
1885,France,Turkey,25.72,
1885,France,Russia,31.51,
1885,United States of America,Netherlands,10.61,
1885,Netherlands,Russia,30.87,
1885,United Kingdom,Denmark,23.47,
1885,Argentina,United Kingdom,22.05,
1885,Austria-Hungary,Russia,17.25,
1885,United States of America,Belgium,6.4,
1885,United Kingdom,Switzerland,18.84,
1885,France,Austria-Hungary,21.32,
1885,Germany,Sweden,7.56,
1885,Sweden,Denmark,13.5,
1885,United States of America,Italy,8.8,
1885,Austria-Hungary,Turkey,4.89,
1885,Italy,Russia,17.66,
1885,United States of America,Spain,2.88,
1885,Brazil,France,10.55,
1885,Switzerland,Austria-Hungary,12.56,
1885,All Other Trade,All Other Trade,17.96,
1885,All Other Trade,All Other Trade,6.82,
1885,All Other Trade,All Other Trade,6.2,
1885,All Other Trade,All Other Trade,14.84,
1885,All Other Trade,All Other Trade,13.4,
1885,All Other Trade,All Other Trade,5.13,
1885,All Other Trade,All Other Trade,9,
1885,All Other Trade,All Other Trade,13.15,
1885,All Other Trade,All Other Trade,7.45,
1885,All Other Trade,All Other Trade,3.31,
1885,All Other Trade,All Other Trade,12,
1885,All Other Trade,All Other Trade,10.62,
1885,All Other Trade,All Other Trade,10.48,
1885,All Other Trade,All Other Trade,7.21,
1885,All Other Trade,All Other Trade,9.29,
1885,All Other Trade,All Other Trade,2.11,
1885,All Other Trade,All Other Trade,12.12,
1885,All Other Trade,All Other Trade,10.44,
1885,All Other Trade,All Other Trade,2.39,
1885,All Other Trade,All Other Trade,3.38,
1885,All Other Trade,All Other Trade,9.63,
1885,All Other Trade,All Other Trade,6.09,
